[2024-12-25 00:59:19,554: INFO: main: Logging is implemented]
[2025-02-09 17:20:48,307: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 17:20:48,315: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 17:22:01,483: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 17:22:01,487: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 17:22:01,489: INFO: common: created directory at: artifacts]
[2025-02-09 17:23:05,435: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 17:23:05,440: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 17:23:05,442: INFO: common: created directory at: artifacts]
[2025-02-09 17:29:27,681: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 17:29:27,681: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 17:29:27,685: INFO: common: created directory at: artifacts]
[2025-02-09 17:35:08,829: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 17:35:08,832: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 17:35:08,834: INFO: common: created directory at: artifacts]
[2025-02-09 17:35:08,834: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-09 17:35:12,417: INFO: 1802843334: Data downloaded at artifacts/data_ingestion/data.zip]
[2025-02-09 17:48:13,090: INFO: main: Data ingestion stage started]
[2025-02-09 17:48:13,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 17:48:13,093: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 17:48:13,093: INFO: common: created directory at: artifacts]
[2025-02-09 17:48:13,096: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-09 17:48:13,096: INFO: stage_1_data_ingestion_pipeline: Data ingestion pipeline started]
[2025-02-09 17:48:13,096: INFO: data_ingestion: file already exists at artifacts/data_ingestion/data.zip]
[2025-02-09 17:48:13,272: INFO: stage_1_data_ingestion_pipeline: Data ingestion pipeline completed]
[2025-02-09 17:48:13,272: INFO: main: Data ingestion stage completed]
